770283	@Needs Native Check
1088	maths
2263	maths
4104	maths
4257	maths
2380	maths
119743	maths
340723	maths
120163	maths
120164	maths
381263	proverb
381277	proverbial phrase
381279	proverb
381281	proverb
381283	proverb
377433	proverb
367101	maths
378343	proverb
381262	proverb
367102	maths
367103	maths
381285	proverb
381290	proverb
381291	proverb
381292	proverb
381293	proverb
381294	proverb
381295	proverb
381296	proverb
381299	proverb
381303	proverb
367105	maths
381305	proverb
381306	proverb
381308	proverb
381309	proverb
381311	proverb
381312	proverb
381313	proverb
381314	proverb
381318	proverb
381319	proverb
367120	maths
367121	maths
367122	maths
367123	maths
367125	maths
381320	proverb
381321	proverb
381322	proverb
381323	proverb
367124	maths
381324	proverb
381325	proverb
381326	proverb
367126	maths
381328	proverb
381330	proverb
381331	proverb
367410	maths
367411	maths
381332	proverb
381336	proverb
381337	proverb
381338	proverb
383978	proverbial phrase
422874	proverb
367415	maths
367413	maths
367414	maths
382295	proverb
382296	proverb
382297	proverb
382298	proverb
382299	proverb
382300	proverb
382301	proverb
382302	proverb
367416	maths
367417	maths
367419	maths
367526	maths
367527	maths
367528	maths
367529	maths
387015	maths
387014	maths
387016	maths
387017	maths
387020	maths
387021	maths
389136	maths
387022	maths
387023	maths
387123	maths
387124	maths
387125	maths
387129	maths
387130	maths
387132	maths
387138	maths
387139	maths
387141	maths
387140	maths
387142	maths
381376	proverb
391678	maths
391679	maths
391680	maths
391681	maths
391684	maths
391685	maths
396118	maths
396116	maths
398284	maths
403591	maths
403592	maths
403595	maths
9964	maths
73502	maths
375410	maths
384515	maths
389273	maths
7110	ambiguous
392936	maths
385772	maths
358404	ambiguous
371759	ambiguous
371764	ambiguous
403593	maths
371770	ambiguous
371773	ambiguous
725626	proverb
378045	ambiguous
378041	ambiguous
378044	ambiguous
385633	ambiguous
378566	ambiguous
379040	ambiguous
378582	ambiguous
379045	ambiguous
379250	ambiguous
379279	ambiguous
379573	ambiguous
379597	ambiguous
379600	ambiguous
379603	ambiguous
379604	ambiguous
379605	ambiguous
380064	ambiguous
383325	ambiguous
383333	ambiguous
385348	ambiguous
385574	ambiguous
376769	tongue twister
403756	ambiguous
1278566	@Needs Native Check
1189643	OK
1277436	@Needs Native Check
1278041	not for safe search
1189609	OK
1275751	idiomatic expression
1276818	ambiguous
1276884	Brazil
1276904	@Needs Native Check
403859	pun
579065	has audio
405072	has audio
75575	female
75575	male
1196122	simple sentence
1196122	poetry
328454	XXX
327053	XXX
326727	XXX
327164	XXX
327198	XXX
327849	XXX
327958	XXX
327963	XXX
328373	XXX
328691	XXX
328931	XXX
329537	XXX
403927	XXX
403925	XXX
402599	XXX
401905	XXX
402477	XXX
402485	XXX
402576	XXX
401897	XXX
401899	XXX
401893	XXX
401879	XXX
401878	XXX
402580	XXX
1277305	@Needs Native Check
68536	OK
68537	OK
68539	OK
68547	OK
403924	XXX
76618	XXX
171808	weather
249671	request
32251	greeting
293837	OK
73750	shopping
238741	proverb
171775	weather
93665	XXX
310042	ambiguous
406248	2nd Person
374671	proverb
404139	proverb
404154	proverb
134396	ambiguous
404155	proverb
381266	proverb
381289	proverb
579068	has audio
37981	less than 8 words
381382	proverb
381286	proverb
381307	proverb
369540	proverb
381288	proverb
381297	proverb
337491	proverb
579066	has audio
393579	has audio
404156	proverb
579058	has audio
381298	proverb
381300	proverb
381369	proverb
400692	anime
381367	proverb
381368	proverb
379213	proverb
379204	proverb
381365	proverb
369532	proverb
379203	proverb
379203	by Aristotle
423421	proverb
389055	China
379215	proverb
398714	Russia
379214	proverb
379214	by Julius Caesar
398711	Putin
379215	by Julius Caesar
381364	proverb
379202	by Aristotle
381287	proverb
432604	set expression
478036	Tatoeba
379202	proverb
477989	Lie
400665	proverb
402868	proverb
403007	Latina Nova
403006	Latina Nova
402909	Trang
400653	Trang
402451	Soviet Union
401887	Soviet Union
394453	Germany
379790	proverb
402867	proverb
75136	female
400662	proverb
400662	Poland
400695	anime
400691	anime
401888	Soviet Union
401889	Soviet Union
401884	Soviet Union
402883	proverb
402162	scenery
398102	scenery
319671	scenery
402074	from Boyhood
